codigo_ocorrencia4,recomendacao_numero,recomendacao_dia_assinatura,recomendacao_dia_encaminhamento,recomendacao_dia_feedback,recomendacao_conteudo,recomendacao_status,recomendacao_destinatario_sigla,recomendacao_destinatario,,,,,,,
77717,A-034/CENIPA/2018 - 01,2018-04-09,2018-07-11,2018-11-27,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
77700,A-031/CENIPA/2018 - 01,2019-06-28,2019-08-20,2020-03-04,ATUAR JUNTO à TIARTE COMéRCIO E MANUTENçãO DE AERONAVES (COM NO 1509-61/ANAC),,,,,,,,,,
77700,A-031/CENIPA/2018 - 02,2019-06-28,2019-08-20,2020-03-04,FISCALIZAR AERONAVES QUE TENHAM REALIZADO SERVIçOS DE MANUTENçãO NA TIARTE COMéRCIO E MANUTENçãO DE AERONAVES,,,,,,,,,,
77695,IG-030/CENIPA/2018 - 01,2019-06-28,2019-08-20,2019-09-23,AVALIAR A NECESSIDADE DE INCLUIR NA SEçãO 67.77 (A) DO RBAC 67 A NEOPLASIA DE MEMBRANAS MENíNGEAS,,,,,,,,,,
77695,IG-030/CENIPA/2018 - 02,2019-06-28,2019-08-20,2019-09-23,AVALIAR A VIABILIDADE DE IMPLANTAR MECANISMOS QUE PERMITAM AOS MéDICOS EXAMINADORES CREDENCIADOS POR ESSA AGêNCIA O ACESSO àS FICHAS DE INSPEçãO DE SAúDE ANTERIORES DOS CANDIDATOS à OBTENçãO/REVALIDAçãO DO CMA E NãO APENAS AO RESULTADO DA INSPEçãO ANTERIOR.,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
77693,A-033/CENIPA/2018 - 01,2019-12-18,2019-12-18,NULL,ATUAR JUNTO à RONDON AVIAçãO AGRíCOLA LTDA.,,,,,,,,,,
77687,A-021/CENIPA/2018 - 01,2021-09-17,2021-09-23,NULL,Atuar junto aos Centros de Treinamento de Aviação Civil (CTAC) certificados para ministrar curso de formação de piloto agrícola,,,,,,,,,,
77687,A-021/CENIPA/2018 - 02,2021-09-17,2021-09-29,2021-11-11,Atuar junto ao Ministério da Agricultura,,,,,,,,,,
77687,A-021/CENIPA/2018 - 03,2021-09-17,2021-09-23,2021-11-11,Analisar junto à Divisão de Aviação Agrícola do MAPA a viabilidade de criar aplicativo eletrônico com informações sobre empresas autorizadas e aeronaves aptas a prestar serviços aeroagrícolas,,,,,,,,,,
77685,A-025/CENIPA/2018 - 01,2018-10-05,2018-05-22,2018-05-06,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
77684,A-017/CENIPA/2018 - 01,2019-12-18,2020-01-13,2021-02-19,ATUAR JUNTO à AERO STA MANUTENçãO DE AERONAVES LTDA.,,,,,,,,,,
77684,A-017/CENIPA/2018 - 02,2019-12-18,2020-01-13,2021-11-01,ATUAR JUNTO à EMPRESA AEROAGRíCOLA SUREñA,,,,,,,,,,
77678,A-015/CENIPA/2018 - 01,2020-10-29,2020-11-25,2021-05-14,Atuar junto à Fênix Recuperação e Manutenção de Aeronaves Ltda.,,,,,,,,,,
77678,A-015/CENIPA/2018 - 02,2020-10-29,2020-11-25,2021-05-14,Atuar junto à Fênix Recuperação e Manutenção de Aeronaves Ltda.,,,,,,,,,,
77678,A-015/CENIPA/2018 - 03,2020-10-29,2020-11-25,NULL,Atuar junto aos pilotos,,,,,,,,,,
77678,A-015/CENIPA/2018 - 04,2020-10-29,2020-11-25,2021-05-14,Atuar junto à Fênix Recuperação e Manutenção de Aeronaves Ltda.,,,,,,,,,,
77678,A-015/CENIPA/2018 - 05,2020-10-29,2020-11-25,2021-05-14,Atuar junto à Fênix Recuperação e Manutenção de Aeronaves Ltda.,,,,,,,,,,
77678,A-015/CENIPA/2018 - 06,2020-10-29,2020-11-25,NULL,Atuar junto às Organizações de Manutenção certificadas para a realização dos serviços de manutenção nas pás do rotor principal das aeronaves fabricadas pela Robinson Helicopter Company,,,,,,,,,,
77678,A-015/CENIPA/2018 - 07,2020-10-29,2020-11-25,2021-05-14,Atuar junto à Fênix Recuperação e Manutenção de Aeronaves Ltda.,,,,,,,,,,
77678,A-015/CENIPA/2018 - 08,2020-10-29,2020-11-25,NULL,Atuar junto à Helisae Serv. Aéreo Especializado Ltda.,,,,,,,,,,
77678,A-015/CENIPA/2018 - 09,2020-10-29,2020-11-25,2020-12-17,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
77675,A-022/CENIPA/2018 - 01,2020-11-03,2020-03-19,2020-08-25,ATUAR JUNTO à LUSA AVIAçãO AGRíCOLA LTDA.,,,,,,,,,,
77675,A-022/CENIPA/2018 - 02,2020-11-03,2020-03-19,2020-06-04,DIVULGAR OS ENSINAMENTOS COLHIDOS NA PRESENTE INVESTIGAçãO,,,,,,,,,,
77670,A-020/CENIPA/2018-01,2020-04-22,2020-04-05,2020-09-16,ATUAR NO DISTRITO DE CREPURIZãO,,,,,,,,,,
77670,A-020/CENIPA/2018-02,2020-04-22,2020-04-05,2020-05-26,DIVULGAR OS ENSINAMENTOS COLHIDOS NA PRESENTE INVESTIGAçãO,,,,,,,,,,
77667,A-023/CENIPA/2018 - 01,2020-05-29,2020-06-23,2020-09-07,DIVULGAR OS ENSINAMENTOS COLHIDOS DA PRESENTE INVESTIGAçãO JUNTO AOS PILOTOS E OPERADORES DA AVIAçãO AGRíCOLA,,,,,,,,,,
77663,A-064/CENIPA/2018 - 01,2019-12-18,2020-01-13,2020-05-14,ATUAR JUNTO à EMPRESA AEROTEX AVIAçãO AGRíCOLA LTDA.,,,,,,,,,,
77660,A-028/CENIPA/2018 - 01,2019-11-03,2019-03-21,2019-07-06,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
77660,A-028/CENIPA/2018 - 02,2019-11-03,2019-03-21,2019-07-06,Atuar junto ? SERRANA aviação Agrícola LTDA,,,,,,,,,,
77653,A-014/CENIPA/2018 - 01,2021-09-17,2021-05-10,2021-10-14,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
77649,A-012/CENIPA/2018 - 01,2018-06-25,2018-07-19,2019-02-26,Atuar junto a Aerodinâmica Aviação Agrícola Ltda.,,,,,,,,,,
77649,A-012/CENIPA/2018 - 02,2018-06-25,2018-07-19,2019-02-26,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
77639,A-004/CENIPA/2018 - 01,2019-01-29,2019-07-03,0002-11-28,Atuar junto ? Mercaer aviação Agrícola Ltda.,,,,,,,,,,
77639,A-004/CENIPA/2018 - 02,2019-01-29,2019-07-03,2019-05-08,Atuar junto ? Mercaer aviação Agrícola Ltda.,,,,,,,,,,
77639,A-004/CENIPA/2018 - 03,2019-01-29,2019-07-03,0002-11-28,Atuar junto ? Mercaer aviação Agrícola Ltda.,,,,,,,,,,
77639,A-004/CENIPA/2018 - 04,2019-01-29,2019-07-03,2019-05-08,Atuar junto ? Mercaer aviação Agrícola Ltda.,,,,,,,,,,
77638,A-005/CENIPA/2018 - 01,2018-12-19,2019-07-03,2019-05-08,Atuar junto ? Mercaer aviação Agrícola Ltda.,,,,,,,,,,
77638,A-005/CENIPA/2018 - 02,2018-12-19,2019-07-03,0002-11-28,Atuar junto ? Mercaer aviação Agrícola Ltda.,,,,,,,,,,
77638,A-005/CENIPA/2018 - 03,2018-12-19,2019-07-03,2019-05-08,Atuar junto ? Mercaer aviação Agrícola Ltda.,,,,,,,,,,
77638,A-005/CENIPA/2018 - 04,2018-12-19,2019-07-03,2019-05-08,Atuar junto ? Mercaer aviação Agrícola Ltda.,,,,,,,,,,
77636,A-008/CENIPA/2018 - 01,2021-08-19,2021-08-26,2021-09-16,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
77630,A-003/CENIPA/2018 - 01,2020-04-22,2020-04-05,2021-10-02,Atuar junto a empresa Camponesa Aviação Agrícola LTDA.,,,,,,,,,,
77630,A-003/CENIPA/2018-02,2020-04-22,2020-04-05,2021-05-05,ATUAR JUNTO à OFICINA DE MANUTENçãO CENTENO AVIAçãO LTDA.,,,,,,,,,,
77602,A-107/CENIPA/2017 - 01,2018-06-25,2018-07-19,2018-07-31,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
77554,A-113/CENIPA/2017 - 01,2018-07-11,2018-11-27,2018-12-27,Suspender a operação da Piquiatuba TáXI Aéreo LTDA. at? que ocorram melhorias no gerenciamento da Segurança operacional,,,,,,,,,,
77544,A-114/CENIPA/2017 - 01,2018-04-09,2018-07-11,2019-04-12,Atuar junto ? Stilus TáXI Aéreo Ltda.,,,,,,,,,,
77544,A-114/CENIPA/2017 - 02,2018-04-09,2018-07-11,2019-07-17,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
77505,A-117/CENIPA/2017 - 01,2018-06-25,2018-07-19,2018-03-08,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
77502,IG-118/CENIPA/2017 - 01,2020-07-24,2020-07-08,2020-03-11,Atuar junto à Líder Táxi-Aéreo S.A.,,,,,,,,,,
77502,IG-118/CENIPA/2017 - 02,2020-07-24,2020-07-08,2020-11-16,Atuar junto ao proprietário do Aeródromo de Mucuri,,,,,,,,,,
77502,IG-118/CENIPA/2017 - 03,2020-07-24,2020-07-08,2020-04-08,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
77495,A-119/CENIPA/2017 - 01,2018-04-09,2018-07-11,2018-12-31,Atuar junto ? Oficina MARTA manutenção de Aeronaves e Com. Ltda. (COM No 0505-01/ANAC),,,,,,,,,,
77495,A-119/CENIPA/2017 - 02,2018-04-09,2018-07-11,2018-12-31,Atuar junto ? Oficina MARTA manutenção de Aeronaves e Com. Ltda. (COM No 0505-01/ANAC),,,,,,,,,,
77495,A-119/CENIPA/2017 - 03,2018-04-09,2018-07-11,2018-12-31,Atuar junto ? Aerotur TáXI Aéreo Ltda. - EPP,,,,,,,,,,
77487,A-120/CENIPA/2017 - 01,2019-01-29,2019-02-21,0002-11-29,Atuar junto ao Aeroclube do Paraná,,,,,,,,,,
77487,A-120/CENIPA/2017 - 02,2019-01-29,2019-02-21,0002-11-29,Atuar junto ao Aeroclube do Paraná,,,,,,,,,,
77487,A-120/CENIPA/2017 - 03,2019-01-29,2019-02-21,0002-11-29,Atuar junto ao Aeroclube do Paraná,,,,,,,,,,
77474,A-121/CENIPA/2017- 01,2020-12-29,2021-01-22,2021-04-02,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
77470,A-122/CENIPA/2017 - 01,2018-06-25,2018-07-23,2018-12-13,Atuar junto ? Prefeitura Municipal de Formosa,,,,,,,,,,
77454,IG-169/CENIPA/2017 - 01,2020-07-24,2020-07-08,2020-11-20,Atuar junto ao operador do aeródromo de São José dos Campos (SBSJ),,,,,,,,,,
77450,A-126/CENIPA/2017 - 01,2021-08-07,2021-07-22,NULL,Atuar junto ao setor competente dessa Agência,,,,,,,,,,
77450,A-126/CENIPA/2017 - 02,2021-08-07,2021-07-22,NULL,Atuar junto ao setor competente dessa Agência,,,,,,,,,,
77450,A-126/CENIPA/2017 - 03,2021-08-07,2021-07-22,NULL,Avaliar a possibilidade de aprimorar os mecanismos de fiscalização,,,,,,,,,,
77441,A-127/CENIPA/2017 - 01,2020-07-24,2020-07-08,2020-08-20,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
77439,A-128/CENIPA/2017 - 01,2022-05-27,2022-06-20,2022-06-29,Divulgar os ensinamentos colhidos nesta investigação,,,,,,,,,,
77438,AP-001/CENIPA/2018-01,2018-01-31,2018-01-02,2019-08-10,Avaliar a pertinência de incluir informações adicionais nas cartas ADC de aeródromos em que operam aeronaves de fuselagem larga (wide),,,,,,,,,,
77431,IG-129/CENIPA/2017 - 01,2017-11-30,2017-12-20,2018-06-04,Determinar a imediata recuperação do pavimento asfáltico da pista de pouso e decolagem do Aeroporto Regional de Maring? (SBMG).,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
77431,IG-129/CENIPA/2017 - 02,2018-04-09,2018-07-11,2019-05-04,Atuar junto ? empresa Terminais Aéreos de Maring? - SBMG S/A,,,,,,,,,,
77424,A-131/CENIPA/2017 - 01,2019-06-28,2019-08-20,2020-09-23,Atuar junto à Manaus Aerotáxi (COM N°0701-02/ANAC),,,,,,,,,,
77424,A-131/CENIPA/2017 - 02,2019-06-28,2019-08-20,2020-04-14,Atuar junto à Manaus Aerotáxi (COM N°0701-02/ANAC),,,,,,,,,,
77424,A-131/CENIPA/2017 - 04,2019-06-28,2019-08-20,2019-03-09,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
77424,A-131/CENIPA/2017-03,2019-06-28,2019-08-20,2020-09-23,Atuar junto ao representante da Wipaire Inc. no Brasil,,,,,,,,,,
77407,A-133/CENIPA/2017 - 01,2019-05-16,2019-05-22,2019-07-08,Atuar junto ao operador do aeródromo de Itaituba,,,,,,,,,,
77407,A-133/CENIPA/2017 - 02,2019-05-16,2019-05-22,2019-07-08,Atuar junto ao operador do aeródromo de Itaituba,,,,,,,,,,
77407,A-133/CENIPA/2017 - 03,2019-05-16,2019-05-22,2019-07-17,Avaliar a viabilidade de modificação do RBHA 91.17(a) (4) de maneira a restringir o ?ndice de alcoolemia para quem atuar ou tentar atuar como tripulante de uma aeronave civil de 0,,,,,,,,,,
77407,A-133/CENIPA/2017 - 04,2019-05-16,2019-05-22,2020-05-20,Atuar junto ao Prestador de serviço de Informação de aeródromo de Itaituba,,,,,,,,,,
77391,A-135/CENIPA/2017 - 01,2018-07-11,2018-11-27,2020-04-14,Atuar junto ao Corpo de Bombeiros Militar do Distrito Federal,,,,,,,,,,
77391,A-135/CENIPA/2017 - 02,2018-07-11,2018-11-27,2020-04-14,Atuar junto ao Corpo de Bombeiros Militar do Distrito Federal,,,,,,,,,,
77391,A-135/CENIPA/2017 - 03,2018-07-11,2018-11-27,2020-04-14,Atuar junto ao Corpo de Bombeiros Militar do Distrito Federal,,,,,,,,,,
77371,A-137/CENIPA/2014 - 01,2018-07-27,2018-08-13,2018-07-12,Atuar,,,,,,,,,,
77354,A-139/CENIPA/2017 - 01,2020-12-29,2021-01-22,2021-04-02,Divulgar o conteúdo deste Relatório Final,,,,,,,,,,
77353,A-140/CENIPA/2017- 01,2021-12-02,2021-02-27,2021-04-29,Certificar-se da implementação,,,,,,,,,,
77353,A-140/CENIPA/2017- 02,2021-12-02,2021-02-27,2021-04-29,Certificar-se do cumprimento,,,,,,,,,,
77320,IG-146/CENIPA/2017 - 01,2019-08-04,2019-04-23,2019-09-08,Atuar junto À GOL Linhas aéreas S.A. a fim de que os treinamentos dos pilotos daquele operador enfatizem as técnicas de pouso descritas nos manuais de operação da aeronave,,,,,,,,,,
77320,IG-146/CENIPA/2017 - 02,2019-08-04,2019-04-23,0002-11-27,Atuar junto ? GOL Linhas aéreas S.A.,,,,,,,,,,
77320,IG-146/CENIPA/2017 - 03,2019-08-04,2019-04-23,NULL,Atuar junto aos controladores de voo da TWR-FI,,,,,,,,,,
77316,A-148/CENIPA/2017 - 01,2020-05-29,2020-06-22,2020-06-29,DIVULGAR OS ENSINAMENTOS COLHIDOS COM A PRESENTE INVESTIGAÇÃO,,,,,,,,,,
77304,A-150/CENIPA/2017 - 01,2018-06-25,2018-07-23,2019-12-11,Atuar junto a Padrinho Aero Agrícola LTDA.,,,,,,,,,,
77304,A-150/CENIPA/2017 - 02,2018-06-25,2018-07-23,2019-07-17,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
77301,A-151/CENIPA/2017 - 01,2020-02-10,2020-10-21,2020-10-29,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
77278,A-156/CENIPA/2017 - 01,2018-09-24,2018-07-11,2018-11-27,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
77276,IG-155/CENIPA/2017 - 01,2021-03-29,2021-04-27,2021-05-08,Atuar junto à LATAM AIRLINES GROUP S.A.,,,,,,,,,,
77276,IG-155/CENIPA/2017 - 02,2021-03-29,2021-04-27,2021-05-08,Atuar junto à LATAM AIRLINES GROUP S.A.,,,,,,,,,,
77276,IG-155/CENIPA/2017 - 03,2021-03-29,2021-04-27,2021-11-25,Atuar junto ao pessoal dos Serviços de Tráfego Aéreo (ATS) no sentido de ratificar a observância dos padrões de fraseologia de tráfego aéreo constantes no MCA 100-16,,,,,,,,,,
77271,A-165/CENIPA/2017 - 01,2020-07-24,2020-07-08,2020-03-11,Atuar junto ao operador da aeronave,,,,,,,,,,
77271,A-165/CENIPA/2017 - 02,2020-07-24,2020-07-08,2020-03-11,Atuar junto ao operador da aeronave,,,,,,,,,,
77271,A-165/CENIPA/2017 - 03,2020-07-24,2020-07-08,2020-08-20,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
77265,A-158/CENIPA/2017 - 01,2020-02-10,2020-10-19,2021-01-22,Atuar junto à organização de manutenção VIMAER - Vidoti Manutenção de Aeronaves Ltda.,,,,,,,,,,
77259,A-162/CENIPA/2017 - 01,2019-11-03,2019-03-26,2019-07-05,Atuar junto ? empresa TáXI Aéreo H?RCULES LTDA,,,,,,,,,,
77248,IG-164/CENIPA/2017,2018-10-05,2018-05-23,2020-11-05,Atuar junto ? Brasil Vida Taxi Aéreo LTDA.,,,,,,,,,,
77202,IG-167/CENIPA/2017 - 01,2018-12-19,2018-12-20,2019-05-11,Atuar junto ? empresa Voa São Paulo,,,,,,,,,,
77202,IG-167/CENIPA/2017 - 02,2018-07-27,2018-08-23,2018-09-14,Atuar junto ? empresa Voa São Paulo,,,,,,,,,,
77202,IG-167/CENIPA/2017 - 03,2018-07-27,2018-08-23,2018-09-14,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
67152,IG-104/CENIPA/2017 - 01,2021-12-30,2022-04-01,NULL,Divulgar os ensinamentos colhidos na presente investigação em eventos de promoção da segurança operacional direcionados às organizações de manutenção de produto aeronáutico,,,,,,,,,,
67142,IG-105/CENIPA/2017-01,2019-01-29,2019-02-21,2019-09-08,Atuar junto à Oceanair Linhas Aéreas (Avianca),,,,,,,,,,
67142,IG-105/CENIPA/2017-02,2019-01-29,2019-02-21,2019-09-08,Atuar junto à Oceanair Linhas Aéreas (Avianca),,,,,,,,,,
67142,IG-105/CENIPA/2017-03,2019-01-29,2019-02-21,2019-09-08,Atuar junto à Oceanair Linhas Aéreas (Avianca),,,,,,,,,,
67142,IG-105/CENIPA/2017-04,2019-01-29,2019-02-25,2019-08-21,Avaliar a pertinência de incluir a indicação do fixo GL083 na carta de aproximação por instrumentos RNAV Y RWY 28 de SBGL,,,,,,,,,,
67142,IG-105/CENIPA/2017-05,2019-01-29,2019-02-25,2019-08-21,Avaliar a pertinência de incluir a indicação nominal dos Stepdown Fixes nas cartas de aproximação dos procedimentos de não precisão,,,,,,,,,,
67142,IG-105/CENIPA/2017-06,2019-01-29,2019-02-25,2019-08-21,Reavaliar os critérios estabelecidos para a seleção de pista em SBGL,,,,,,,,,,
67137,A-103/CENIPA/2017 - 01,2021-09-17,2021-05-10,2022-06-15,Avaliar a pertinência de atuar junto ao fabricante da aeronave,,,,,,,,,,
67137,A-103/CENIPA/2017 - 02,2021-09-17,2021-05-10,2021-08-10,Divulgar os ensinamentos contidos na presente investigação,,,,,,,,,,
67058,A-095/CENIPA/2017 - 01,2022-08-07,2022-07-19,2022-08-31,Atuar junto ao representante da Continental Motors no Brasil buscando implementar melhorias no processo de recondicionamento e de controle de qualidade,,,,,,,,,,
67058,A-095/CENIPA/2017 - 02,2022-08-07,2022-07-19,NULL,Divulgar os ensinamentos colhidos nesta investigação aos operadores de aeronave modelos SR20 e SR22 e aos Centros de Instrução de Aviação Civil certificados para ministrarem cursos teóricos e práticos nesses modelos de aeronave,,,,,,,,,,
67040,A-096/CENIPA/2017 - 01,2018-09-24,2019-07-03,2021-06-01,Atuar junto à FORMAER -Formosa Manutenção deAeronaves Ltda.(COM No0912-61/ANAC),,,,,,,,,,
67040,A-096/CENIPA/2017 - 02,2018-09-24,2019-07-03,2021-06-01,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
67011,A-035/CENIPA/2017 - 01,2018-10-05,2018-05-22,2019-10-04,Atuar junto ao Aeroclube de Ponta Grossa,,,,,,,,,,
67011,A-035/CENIPA/2017 - 02,2018-10-05,2018-05-22,2019-10-04,Atuar junto ao administrador do Aeroporto de Ponta Grossa,,,,,,,,,,
66977,IG-093/CENIPA/2017 - 01,2019-10-28,2019-06-11,2021-12-01,Atuar junto à Just Fly Escola de Aviação Ltda.,,,,,,,,,,
66971,A-091/CENIPA/2017 - 01,2022-05-27,2022-06-20,2022-07-14,Monitorar os dados do Sistema de Gerenciamento de Risco Aviário (SIGRA),,,,,,,,,,
66962,A-090/CENIPA/2017 - 01,2019-06-28,2019-08-20,2019-12-09,Divulgar os ensinamentos colhidos com a presente investigação,,,,,,,,,,
66953,A-089/CENIPA/2017 - 01,2019-06-08,2019-08-20,2019-03-09,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
66953,A-089/CENIPA/2017 - 02,2019-06-08,2019-08-20,2020-08-19,Atuar junto à VOARE Táxi Aéreo Ltda.,,,,,,,,,,
66953,A-089/CENIPA/2017 - 03,2019-06-08,2019-08-20,2020-01-10,Atuar junto à VOARE Táxi Aéreo Ltda.,,,,,,,,,,
66953,A-089/CENIPA/2017 - 04,2021-04-10,2022-11-02,NULL,Atuar junto à VOARE Táxi aéreo ltda.,,,,,,,,,,
66880,A-085/CENIPA/2017 - 01,2019-11-03,2019-03-21,2019-04-29,Divulgar os ensinamentos colhidos com esta ocorrência,,,,,,,,,,
66800,A-079/CENIPA/2017-01,2019-08-04,2019-04-17,2019-04-29,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
66731,IG-072/CENIPA/2017- 01,2020-02-10,2021-12-05,2021-09-09,Atuar junto ao Governo do Estado de Goiás,,,,,,,,,,
66731,IG-072/CENIPA/2017- 02,2020-02-10,2021-12-05,2021-09-09,Atuar junto ao operador do Aeródromo Nacional de Aviação (Governo do Estado de Goiás),,,,,,,,,,
66731,IG-072/CENIPA/2017- 03,2020-02-10,2021-12-05,2021-09-09,Atuar junto ao operador do Aeródromo Nacional de Aviação (Governo do Estado de Goiás),,,,,,,,,,
66685,A-070/CENIPA/2017-01,2019-08-04,2019-04-16,2019-09-19,Atuar junto ao Aeroclube de Campinas,,,,,,,,,,
66685,A-070/CENIPA/2017-02,2019-08-04,2019-04-16,2019-09-19,Atuar junto ao Aeroclube de Campinas,,,,,,,,,,
66685,A-070/CENIPA/2017-03,2019-08-04,2019-04-16,2019-09-19,Atuar junto ao Aeroclube de Campinas,,,,,,,,,,
66685,A-070/CENIPA/2017-04,2019-08-04,2019-04-16,2019-09-19,Atuar junto ao Aeroclube de Campinas,,,,,,,,,,
66685,A-070/CENIPA/2017-05,2019-08-04,2019-04-16,2019-09-19,Atuar junto ao Aeroclube de Campinas,,,,,,,,,,
66655,A-062/CENIPA/2017 - 01,2019-10-28,2019-05-11,2020-12-18,Atuar junto à Nórdica Aviação Agrícola Ltda (Ex - Teruel Aviação Agrícola Ltda),,,,,,,,,,
66655,A-062/CENIPA/2017 - 02,2019-10-28,2019-05-11,2020-08-25,Atuar junto à Nórdica Aviação Agrícola Ltda (Ex - Teruel Aviação Agrícola Ltda),,,,,,,,,,
66655,A-062/CENIPA/2017 - 03,2019-10-28,2019-05-11,2020-08-25,Atuar junto à Nórdica Aviação Agrícola Ltda (Ex - Teruel Aviação Agrícola Ltda),,,,,,,,,,
66646,A-060/CENIPA/2017 - 01,2021-03-29,2021-04-26,2021-05-26,Atuar junto à HELIRIO Táxi Aéreo Ltda.,,,,,,,,,,
66646,A-060/CENIPA/2017 - 02,2021-03-29,2021-04-26,2021-06-05,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
66639,A-061/CENIPA/2017 - 01,2017-04-13,2017-07-04,2019-04-30,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
66616,A-057/CENIPA/2017 - 01,2020-07-24,2020-07-08,2020-08-25,Atuar junto à TWO TÁXI AÉREO LTDA,,,,,,,,,,
66616,A-057/CENIPA/2017 - 02,2020-07-24,2020-07-08,2020-05-26,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
66585,A-054/CENIPA/2017-01,2020-04-22,2020-04-05,2020-05-25,DIVULGAR OS ENSINAMENTOS COLHIDOS NA PRESENTE INVESTIGAçãO A FIM DE ALERTAR PILOTOS E OPERADORES DA AVIAçãO CIVIL BRASILEIRA SOBRE OS RISCOS DECORRENTES DO DESCUMPRIMENTO DOS REQUISITOS DE COMBUSTíVEL MíNIMO PREVISTOS NA REGULAMENTAçãO.,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
66559,A-051/CENIPA/2017 - 01,2017-06-22,2017-06-30,2017-11-28,Intensificar a fiscalização no Aeroclube de Bragança Paulista com ênfase na qualidade da instrução ministrada,,,,,,,,,,
66555,A-042/CENIPA/2017 - 01,2018-06-25,2018-06-25,NULL,Atuar junto ao Aeroclube de Bento Gonçalves,,,,,,,,,,
66555,A-042/CENIPA/2017 - 02,2018-06-25,2018-06-25,NULL,Atuar junto ao Aeroclube de Bento Gonçalves,,,,,,,,,,
66550,A-053/CENIPA/2017 - 01,2022-09-21,2022-09-27,NULL,Atuar junto à Total Linha Aéreas S.A,,,,,,,,,,
66544,I-047/CENIPA/2017 - 01,2017-06-22,2017-06-30,2017-10-18,Atuar junto às empresas que operam segundo o RBAC 121 para que estabeleçam procedimentos internos de alerta aos passageiros,,,,,,,,,,
66543,IG-048/CENIPA/2017 - 01,2018-01-31,2018-01-02,2019-12-09,Interagir com o fabricante da aeronave (ATR) com a finalidade de que sejam revisados os procedimentos de manutenção programada para a inspeção dos cabos de comando Part Number S2211001100000,,,,,,,,,,
66543,IG-048/CENIPA/2017 - 01,2021-08-07,2021-08-20,2022-03-22,Atuar junto à ATR - GIE Avions de Transport Régional,,,,,,,,,,
66543,IG-048/CENIPA/2017 - 02,2018-01-31,2018-01-02,2019-12-09,Interagir com o Fabricante da Aeronave de forma a verificar a necessidade de atribuir um “limite de vida” aos cabos de comando Part Number S2211001100000,,,,,,,,,,
66541,A-046/CENIPA/2017 - 01,2017-10-27,2017-11-16,2018-03-10,Atuar junto à TAIM AEROAGRÍCOLA LTDA. com a finalidade de orientar seus pilotos quanto ao prévio planejamento da missão e reconhecimento do local a ser sobrevoado,,,,,,,,,,
66529,A-044/CENIPA/2017-01,2019-05-16,2019-05-28,2019-04-07,Analisar a pertinência de aperfeiçoar os mecanismos e sistemas de emissão e controle dos Certificados Médicos Aeronáuticos (CMA),,,,,,,,,,
66529,A-044/CENIPA/2017-02,2019-05-16,2019-05-28,2019-08-16,Atuar junto à Icaraí Turismo Táxi Aéreo Ltda.,,,,,,,,,,
66529,A-044/CENIPA/2017-03,2019-05-16,2019-05-28,2019-08-16,Atuar junto à Icaraí Turismo Táxi Aéreo Ltda.,,,,,,,,,,
66529,A-044/CENIPA/2017-04,2019-05-16,2019-05-28,2019-08-16,Atuar junto à Icaraí Turismo Táxi Aéreo Ltda.,,,,,,,,,,
66527,IG-045/CENIPA/2017 - 01,2018-12-19,2019-02-21,2019-07-16,Atuar junto à empresa CTA - Cleiton Taxi Aéreo LTDA.,,,,,,,,,,
66503,A-040/CENIPA/2017 - 01,2019-12-18,2020-01-13,2020-03-25,Atuar junto à Centroar Agro-Aéreo LTDA.,,,,,,,,,,
66503,A-040/CENIPA/2017 - 02,2019-12-18,2020-01-13,2020-03-25,Atuar junto à Centroar Agro-Aéreo LTDA.,,,,,,,,,,
