Segment;Country;Product;Discount Band;Units Sold;Manufacturing Price;Sale Price;Gross Sales;Discounts; Sales;COGS;Profit;Date;Month Number;Month Name;Year
Midmarket;Mexico;Velo;Medium;2861;120;15;42915;214575;4076925;28610;1215925;01/01/2014;1;January;2014
Enterprise;Germany;Velo;Medium;807;120;125;100875;504375;9583125;96840;-100875;01/02/2014;2;February;2014
Government;United States of America;Velo;Medium;602;120;350;210700;10535;200165;156520;43645;01/06/2014;6;June;2014
Government;United States of America;Velo;Medium;2832;120;20;56640;2832;53808;28320;25488;01/08/2014;8;August;2014
Government;France;Velo;Medium;1579;120;20;31580;1579;30001;15790;14211;01/08/2014;8;August;2014
Enterprise;United States of America;Velo;Medium;861;120;125;107625;538125;10224375;103320;-107625;01/10/2014;10;October;2014
Enterprise;France;Velo;Medium;704;120;125;88000;4400;83600;84480;-880;01/10/2013;10;October;2013
Government;France;Velo;Medium;1033;120;20;20660;1033;19627;10330;9297;01/12/2013;12;December;2013
Small Business;Germany;Velo;Medium;1250;120;300;375000;18750;356250;312500;43750;01/12/2014;12;December;2014
Government;Canada;VTT;Medium;1389;250;20;27780;1389;26391;13890;12501;01/10/2013;10;October;2013
Government;United States of America;VTT;Medium;1265;250;20;25300;1265;24035;12650;11385;01/11/2013;11;November;2013
Government;Germany;VTT;Medium;2297;250;20;45940;2297;43643;22970;20673;01/11/2013;11;November;2013
Government;United States of America;VTT;Medium;2663;250;20;53260;2663;50597;26630;23967;01/12/2014;12;December;2014
Government;United States of America;VTT;Medium;570;250;7;3990;1995;37905;2850;9405;01/12/2014;12;December;2014
Government;France;VTT;Medium;2487;250;7;17409;87045;1653855;12435;4,10355E+16;01/12/2014;12;December;2014
Government;Germany;Amarilla;Medium;1350;260;350;472500;23625;448875;351000;97875;01/02/2014;2;February;2014
Government;Canada;Amarilla;Medium;552;260;350;193200;9660;183540;143520;40020;01/08/2014;8;August;2014
Government;Canada;Amarilla;Medium;1228;260;350;429800;21490;408310;319280;89030;01/10/2013;10;October;2013
Small Business;Germany;Amarilla;Medium;1250;260;300;375000;18750;356250;312500;43750;01/12/2014;12;December;2014
Midmarket;France;Paseo;Medium;3801;10;15;57015;3,4209E+16;5,35941E+16;38010;1,55841E+16;01/04/2014;4;April;2014
Government;United States of America;Carretera;Medium;11175;3;20;22350;1341;21009;11175;9834;01/01/2014;1;January;2014
Midmarket;Canada;Carretera;Medium;2844;3;15;42660;25596;4,01004E+16;28440;1,16604E+16;01/06/2014;6;June;2014
Channel Partners;Mexico;Carretera;Medium;562;3;12;6744;40464;633936;1686;4,65336E+16;01/09/2014;9;September;2014
Channel Partners;Canada;Carretera;Medium;2299;3;12;27588;165528;2,59327E+16;6897;1903572;01/10/2013;10;October;2013
Midmarket;United States of America;Carretera;Medium;2030;3;15;30450;1827;28623;20300;8323;01/11/2014;11;November;2014
Government;United States of America;Carretera;Medium;263;3;7;1841;11046;173054;1315;4,1554E+16;01/11/2013;11;November;2013
Enterprise;Germany;Carretera;Medium;887;3;125;110875;66525;1042225;106440;-22175;01/12/2013;12;December;2013
Government;Mexico;Montana;Medium;980;5;350;343000;20580;322420;254800;67620;01/04/2014;4;April;2014
Government;Germany;Montana;Medium;1460;5;350;511000;30660;480340;379600;100740;01/05/2014;5;May;2014
Government;France;Montana;Medium;1403;5;7;9821;58926;923174;7015;2,21674E+16;01/10/2013;10;October;2013
Channel Partners;United States of America;Montana;Medium;2723;5;12;32676;196056;3,07154E+16;8169;2254644;01/11/2014;11;November;2014
Government;France;Paseo;Medium;1496;10;350;523600;31416;492184;388960;103224;01/06/2014;6;June;2014
Channel Partners;Canada;Paseo;Medium;2299;10;12;27588;165528;2,59327E+16;6897;1903572;01/10/2013;10;October;2013
Government;United States of America;Paseo;Medium;727;10;350;254450;15267;239183;189020;50163;01/10/2013;10;October;2013
Enterprise;Canada;Velo;Medium;952;120;125;119000;7140;111860;114240;-2380;01/02/2014;2;February;2014
Enterprise;United States of America;Velo;Medium;2755;120;125;344375;206625;3237125;330600;-68875;01/02/2014;2;February;2014
Midmarket;Germany;Velo;Medium;1530;120;15;22950;1377;21573;15300;6273;01/05/2014;5;May;2014
Government;France;Velo;Medium;1496;120;350;523600;31416;492184;388960;103224;01/06/2014;6;June;2014
Government;Mexico;Velo;Medium;1498;120;7;10486;62916;985684;7490;236684;01/06/2014;6;June;2014
Small Business;France;Velo;Medium;1221;120;300;366300;21978;344322;305250;39072;01/10/2013;10;October;2013
Government;France;Velo;Medium;2076;120;350;726600;43596;683004;539760;143244;01/10/2013;10;October;2013
Midmarket;Canada;VTT;Medium;2844;250;15;42660;25596;4,01004E+16;28440;1,16604E+16;01/06/2014;6;June;2014
Government;Mexico;VTT;Medium;1498;250;7;10486;62916;985684;7490;236684;01/06/2014;6;June;2014
Small Business;France;VTT;Medium;1221;250;300;366300;21978;344322;305250;39072;01/10/2013;10;October;2013
Government;Mexico;VTT;Medium;1123;250;20;22460;13476;2,11124E+16;11230;9,8824E+16;01/11/2013;11;November;2013
Small Business;Canada;VTT;Medium;2436;250;300;730800;43848;686952;609000;77952;01/12/2013;12;December;2013
Enterprise;France;Amarilla;Medium;19875;260;125;2484375;1490625;23353125;238500;-496875;01/01/2014;1;January;2014
Government;Mexico;Amarilla;Medium;1679;260;350;587650;35259;552391;436540;115851;01/09/2014;9;September;2014
Government;United States of America;Amarilla;Medium;727;260;350;254450;15267;239183;189020;50163;01/10/2013;10;October;2013
Government;France;Amarilla;Medium;1403;260;7;9821;58926;923174;7015;2,21674E+16;01/10/2013;10;October;2013
Government;France;Amarilla;Medium;2076;260;350;726600;43596;683004;539760;143244;01/10/2013;10;October;2013
Government;France;Montana;Medium;1757;5;20;35140;21084;3,30316E+16;17570;1,54616E+16;01/10/2013;10;October;2013
Midmarket;United States of America;Paseo;Medium;2198;10;15;32970;19782;309918;21980;9,0118E+16;01/08/2014;8;August;2014
Midmarket;Germany;Paseo;Medium;1743;10;15;26145;15687;245763;17430;7,1463E+16;01/08/2014;8;August;2014
Midmarket;United States of America;Paseo;Medium;1153;10;15;17295;10377;162573;11530;4,7273E+16;01/10/2014;10;October;2014
Government;France;Paseo;Medium;1757;10;20;35140;21084;3,30316E+16;17570;1,54616E+16;01/10/2013;10;October;2013
Government;Germany;Velo;Medium;1001;120;20;20020;12012;188188;10010;8,8088E+16;01/08/2014;8;August;2014
Government;Mexico;Velo;Medium;1333;120;7;9331;55986;877114;6665;2,10614E+16;01/11/2014;11;November;2014
Midmarket;United States of America;VTT;Medium;1153;250;15;17295;10377;162573;11530;4,7273E+16;01/10/2014;10;October;2014
Channel Partners;Mexico;Carretera;Medium;727;3;12;8724;6,1068E+16;811332;2181;593232;01/02/2014;2;February;2014
Channel Partners;Canada;Carretera;Medium;1884;3;12;22608;158256;2,10254E+16;5652;1,53734E+16;01/08/2014;8;August;2014
Government;Mexico;Carretera;Medium;1834;3;20;36680;25676;3,41124E+16;18340;1,57724E+16;01/09/2013;9;September;2013
Channel Partners;Mexico;Montana;Medium;2340;5;12;28080;19656;2,61144E+16;7020;1,90944E+16;01/01/2014;1;January;2014
Channel Partners;France;Montana;Medium;2342;5;12;28104;196728;2,61367E+16;7026;1911072;01/11/2014;11;November;2014
Government;France;Paseo;Medium;1031;10;7;7217;50519;671181;5155;1,55681E+16;01/09/2013;9;September;2013
Midmarket;Canada;Velo;Medium;1262;120;15;18930;13251;1,76049E+16;12620;4,9849E+16;01/05/2014;5;May;2014
Government;Canada;Velo;Medium;1135;120;7;7945;55615;738885;5675;1,71385E+16;01/06/2014;6;June;2014
Government;United States of America;Velo;Medium;547;120;7;3829;2,6803E+16;3,56097E+16;2735;8,2597E+16;01/11/2014;11;November;2014
Government;Canada;Velo;Medium;1582;120;7;11074;77518;1029882;7910;2,38882E+16;01/12/2014;12;December;2014
Channel Partners;France;VTT;Medium;17385;250;12;20862;146034;1940166;52155;1418616;01/04/2014;4;April;2014
Channel Partners;Germany;VTT;Medium;2215;250;12;26580;18606;247194;6645;1,80744E+16;01/09/2013;9;September;2013
Government;Canada;VTT;Medium;1582;250;7;11074;77518;1029882;7910;2,38882E+16;01/12/2014;12;December;2014
Government;Canada;Amarilla;Medium;1135;260;7;7945;55615;738885;5675;1,71385E+16;01/06/2014;6;June;2014
Government;United States of America;Carretera;Medium;1761;3;350;616350;431445;5732055;457860;1153455;01/03/2014;3;March;2014
Small Business;France;Carretera;Medium;448;3;300;134400;9408;124992;112000;12992;01/06/2014;6;June;2014
Small Business;France;Carretera;Medium;2181;3;300;654300;45801;608499;545250;63249;01/10/2014;10;October;2014
Government;France;Montana;Medium;1976;5;20;39520;27664;3,67536E+16;19760;1,69936E+16;01/10/2014;10;October;2014
Small Business;France;Montana;Medium;2181;5;300;654300;45801;608499;545250;63249;01/10/2014;10;October;2014
Enterprise;Germany;Montana;Medium;2500;5;125;312500;21875;290625;300000;-9375;01/11/2013;11;November;2013
Small Business;Canada;Paseo;Medium;1702;10;300;510600;35742;474858;425500;49358;01/05/2014;5;May;2014
Small Business;France;Paseo;Medium;448;10;300;134400;9408;124992;112000;12992;01/06/2014;6;June;2014
Enterprise;Germany;Paseo;Medium;3513;10;125;439125;3073875;40838625;421560;-1317375;01/07/2014;7;July;2014
Midmarket;France;Paseo;Medium;2101;10;15;31515;2,20605E+16;2930895;21010;8,29895E+16;01/08/2014;8;August;2014
Midmarket;United States of America;Paseo;Medium;2931;10;15;43965;307755;4,08874E+16;29310;1,15774E+16;01/09/2013;9;September;2013
Government;France;Paseo;Medium;1535;10;20;30700;2149;28551;15350;13201;01/09/2014;9;September;2014
Small Business;Germany;Paseo;Medium;1123;10;300;336900;23583;313317;280750;32567;01/09/2013;9;September;2013
Small Business;Canada;Paseo;Medium;1404;10;300;421200;29484;391716;351000;40716;01/11/2013;11;November;2013
Channel Partners;Mexico;Paseo;Medium;2763;10;12;33156;232092;3083508;8289;2,25461E+16;01/11/2013;11;November;2013
Government;Germany;Paseo;Medium;2125;10;7;14875;104125;1383375;10625;320875;01/12/2013;12;December;2013
Small Business;France;Velo;Medium;1659;120;300;497700;34839;462861;414750;48111;01/07/2014;7;July;2014
Government;Mexico;Velo;Medium;609;120;20;12180;8526;113274;6090;5,2374E+16;01/08/2014;8;August;2014
Enterprise;Germany;Velo;Medium;2087;120;125;260875;1826125;24261375;250440;-782625;01/09/2014;9;September;2014
Government;France;Velo;Medium;1976;120;20;39520;27664;3,67536E+16;19760;1,69936E+16;01/10/2014;10;October;2014
Government;United States of America;Velo;Medium;1421;120;20;28420;19894;264306;14210;1,22206E+16;01/12/2013;12;December;2013
Small Business;United States of America;Velo;Medium;1372;120;300;411600;28812;382788;343000;39788;01/12/2014;12;December;2014
Government;Germany;Velo;Medium;588;120;20;11760;8232;109368;5880;5,0568E+16;01/12/2013;12;December;2013
Channel Partners;Canada;VTT;Medium;32445;250;12;38934;272538;3,62086E+16;97335;2,64751E+16;01/01/2014;1;January;2014
Small Business;France;VTT;Medium;959;250;300;287700;20139;267561;239750;27811;01/02/2014;2;February;2014
Small Business;Mexico;VTT;Medium;2747;250;300;824100;57687;766413;686750;79663;01/02/2014;2;February;2014
Enterprise;Canada;Amarilla;Medium;1645;260;125;205625;1439375;19123125;197400;-616875;01/05/2014;5;May;2014
Government;France;Amarilla;Medium;2876;260;350;1006600;70462;936138;747760;188378;01/09/2014;9;September;2014
Enterprise;Germany;Amarilla;Medium;994;260;125;124250;86975;1155525;119280;-37275;01/09/2013;9;September;2013
Government;Canada;Amarilla;Medium;1118;260;20;22360;15652;207948;11180;9,6148E+16;01/11/2014;11;November;2014
Small Business;United States of America;Amarilla;Medium;1372;260;300;411600;28812;382788;343000;39788;01/12/2014;12;December;2014
Government;Canada;Montana;Medium;488;5;7;3416;2,7328E+16;3,14272E+16;2440;7,0272E+16;01/02/2014;2;February;2014
Government;United States of America;Montana;Medium;1282;5;20;25640;2,0512E+16;2,35888E+16;12820;107688;01/06/2014;6;June;2014
Government;Canada;Paseo;Medium;257;10;7;1799;1,4392E+16;165508;1285;3,7008E+16;01/05/2014;5;May;2014
Government;United States of America;Amarilla;Medium;1282;260;20;25640;2,0512E+16;2,35888E+16;12820;107688;01/06/2014;6;June;2014
Enterprise;Mexico;Carretera;Medium;1540;3;125;192500;15400;177100;184800;-7700;01/08/2014;8;August;2014
Midmarket;France;Carretera;Medium;490;3;15;7350;588;6762;4900;1862;01/11/2014;11;November;2014
Government;Mexico;Carretera;Medium;1362;3;350;476700;38136;438564;354120;84444;01/12/2014;12;December;2014
Midmarket;France;Montana;Medium;2501;5;15;37515;30012;3,45138E+16;25010;9,5038E+16;01/03/2014;3;March;2014
Government;Canada;Montana;Medium;708;5;20;14160;11328;130272;7080;5,9472E+16;01/06/2014;6;June;2014
Government;Germany;Montana;Medium;645;5;20;12900;1032;11868;6450;5418;01/07/2014;7;July;2014
Small Business;France;Montana;Medium;1562;5;300;468600;37488;431112;390500;40612;01/08/2014;8;August;2014
Small Business;Canada;Montana;Medium;1283;5;300;384900;30792;354108;320750;33358;01/09/2013;9;September;2013
Midmarket;Germany;Montana;Medium;711;5;15;10665;8532;9,8118E+16;7110;2,7018E+16;01/12/2014;12;December;2014
Enterprise;Mexico;Paseo;Medium;1114;10;125;139250;11140;128110;133680;-5570;01/03/2014;3;March;2014
Government;Germany;Paseo;Medium;1259;10;7;8813;70504;810796;6295;181296;01/04/2014;4;April;2014
Government;Germany;Paseo;Medium;1095;10;7;7665;6,132E+16;70518;5475;1,5768E+16;01/05/2014;5;May;2014
Government;Germany;Paseo;Medium;1366;10;20;27320;21856;2,51344E+16;13660;1,14744E+16;01/06/2014;6;June;2014
Small Business;Mexico;Paseo;Medium;2460;10;300;738000;59040;678960;615000;63960;01/06/2014;6;June;2014
Government;United States of America;Paseo;Medium;678;10;7;4746;37968;436632;3390;9,7632E+16;01/08/2014;8;August;2014
Government;Germany;Paseo;Medium;1598;10;7;11186;89488;1,02911E+16;7990;2,30112E+16;01/08/2014;8;August;2014
Government;Germany;Paseo;Medium;2409;10;7;16863;134904;1551396;12045;3,46896E+16;01/09/2013;9;September;2013
Government;Germany;Paseo;Medium;1934;10;20;38680;30944;3,55856E+16;19340;1,62456E+16;01/09/2014;9;September;2014
Government;Mexico;Paseo;Medium;2993;10;20;59860;47888;5,50712E+16;29930;2,51412E+16;01/09/2014;9;September;2014
Government;Germany;Paseo;Medium;2146;10;350;751100;60088;691012;557960;133052;01/11/2013;11;November;2013
Government;Mexico;Paseo;Medium;1946;10;7;13622;108976;1253224;9730;280224;01/12/2013;12;December;2013
Government;Mexico;Paseo;Medium;1362;10;350;476700;38136;438564;354120;84444;01/12/2014;12;December;2014
Channel Partners;Canada;Velo;Medium;598;120;12;7176;5,7408E+16;660192;1794;480792;01/03/2014;3;March;2014
Government;United States of America;Velo;Medium;2907;120;7;20349;162792;1,87211E+16;14535;4,18608E+16;01/06/2014;6;June;2014
Government;Germany;Velo;Medium;2338;120;7;16366;130928;1505672;11690;3,36672E+16;01/06/2014;6;June;2014
Small Business;France;Velo;Medium;386;120;300;115800;9264;106536;96500;10036;01/11/2013;11;November;2013
Small Business;Mexico;Velo;Medium;635;120;300;190500;15240;175260;158750;16510;01/12/2014;12;December;2014
Government;France;VTT;Medium;5745;250;350;201075;16086;184989;149370;35619;01/04/2014;4;April;2014
Government;Germany;VTT;Medium;2338;250;7;16366;130928;1505672;11690;3,36672E+16;01/06/2014;6;June;2014
Government;France;VTT;Medium;381;250;350;133350;10668;122682;99060;23622;01/08/2014;8;August;2014
Government;Germany;VTT;Medium;422;250;350;147700;11816;135884;109720;26164;01/08/2014;8;August;2014
Small Business;Canada;VTT;Medium;2134;250;300;640200;51216;588984;533500;55484;01/09/2014;9;September;2014
Small Business;United States of America;VTT;Medium;808;250;300;242400;19392;223008;202000;21008;01/12/2013;12;December;2013
Government;Canada;Amarilla;Medium;708;260;20;14160;11328;130272;7080;5,9472E+16;01/06/2014;6;June;2014
Government;United States of America;Amarilla;Medium;2907;260;7;20349;162792;1,87211E+16;14535;4,18608E+16;01/06/2014;6;June;2014
Government;Germany;Amarilla;Medium;1366;260;20;27320;21856;2,51344E+16;13660;1,14744E+16;01/06/2014;6;June;2014
Small Business;Mexico;Amarilla;Medium;2460;260;300;738000;59040;678960;615000;63960;01/06/2014;6;June;2014
Government;Germany;Amarilla;Medium;1520;260;20;30400;2432;27968;15200;12768;01/11/2014;11;November;2014
Midmarket;Germany;Amarilla;Medium;711;260;15;10665;8532;9,8118E+16;7110;2,7018E+16;01/12/2014;12;December;2014
Channel Partners;Mexico;Amarilla;Medium;1375;260;12;16500;1320;15180;4125;11055;01/12/2013;12;December;2013
Small Business;Mexico;Amarilla;Medium;635;260;300;190500;15240;175260;158750;16510;01/12/2014;12;December;2014
Government;United States of America;VTT;Medium;4365;250;20;8730;6,984E+16;8,0316E+16;4365;3,6666E+16;01/07/2014;7;July;2014
Small Business;Canada;Carretera;Medium;1094;3;300;328200;29538;298662;273500;25162;01/06/2014;6;June;2014
Channel Partners;Mexico;Carretera;Medium;367;3;12;4404;39636;400764;1101;290664;01/10/2013;10;October;2013
Small Business;Canada;Montana;Medium;38025;5;300;1140750;1026675;10380825;950625;874575;01/04/2014;4;April;2014
Government;France;Montana;Medium;1666;5;350;583100;52479;530621;433160;97461;01/05/2014;5;May;2014
Small Business;France;Montana;Medium;322;5;300;96600;8694;87906;80500;7406;01/09/2013;9;September;2013
Channel Partners;Canada;Montana;Medium;2321;5;12;27852;2,50668E+16;2534532;6963;1838232;01/11/2014;11;November;2014
Enterprise;France;Montana;Medium;1857;5;125;232125;2089125;21123375;222840;-1160625;01/11/2013;11;November;2013
Government;Canada;Montana;Medium;1611;5;7;11277;101493;1026207;8055;2,20707E+16;01/12/2013;12;December;2013
Enterprise;United States of America;Montana;Medium;2797;5;125;349625;3146625;31815875;335640;-1748125;01/12/2014;12;December;2014
Small Business;Germany;Montana;Medium;334;5;300;100200;9018;91182;83500;7682;01/12/2013;12;December;2013
Small Business;Mexico;Paseo;Medium;2565;10;300;769500;69255;700245;641250;58995;01/01/2014;1;January;2014
Government;Mexico;Paseo;Medium;2417;10;350;845950;761355;7698145;628420;1413945;01/01/2014;1;January;2014
Midmarket;United States of America;Paseo;Medium;3675;10;15;55125;496125;5016375;36750;1341375;01/04/2014;4;April;2014
Small Business;Canada;Paseo;Medium;1094;10;300;328200;29538;298662;273500;25162;01/06/2014;6;June;2014
Midmarket;France;Paseo;Medium;1227;10;15;18405;165645;1674855;12270;4,47855E+16;01/10/2014;10;October;2014
Channel Partners;Mexico;Paseo;Medium;367;10;12;4404;39636;400764;1101;290664;01/10/2013;10;October;2013
Small Business;France;Paseo;Medium;1324;10;300;397200;35748;361452;331000;30452;01/11/2014;11;November;2014
Channel Partners;Germany;Paseo;Medium;1775;10;12;21300;1917;19383;5325;14058;01/11/2013;11;November;2013
Enterprise;United States of America;Paseo;Medium;2797;10;125;349625;3146625;31815875;335640;-1748125;01/12/2014;12;December;2014
Midmarket;Mexico;Velo;Medium;245;120;15;3675;33075;334425;2450;89425;01/05/2014;5;May;2014
Small Business;Canada;Velo;Medium;37935;120;300;1138050;1024245;10356255;948375;872505;01/07/2014;7;July;2014
Government;Germany;Velo;Medium;1307;120;350;457450;411705;4162795;339820;764595;01/07/2014;7;July;2014
Enterprise;Canada;Velo;Medium;567;120;125;70875;637875;6449625;68040;-354375;01/09/2014;9;September;2014
Enterprise;Mexico;Velo;Medium;2110;120;125;263750;237375;2400125;253200;-131875;01/09/2014;9;September;2014
Government;Canada;Velo;Medium;1269;120;350;444150;399735;4041765;329940;742365;01/10/2014;10;October;2014
Channel Partners;United States of America;VTT;Medium;1956;250;12;23472;211248;2135952;5868;1549152;01/01/2014;1;January;2014
Small Business;Germany;VTT;Medium;2659;250;300;797700;71793;725907;664750;61157;01/02/2014;2;February;2014
Government;United States of America;VTT;Medium;13515;250;350;473025;4257225;43045275;351390;7906275;01/04/2014;4;April;2014
Channel Partners;Germany;VTT;Medium;880;250;12;10560;9504;96096;2640;69696;01/05/2014;5;May;2014
Small Business;United States of America;VTT;Medium;1867;250;300;560100;50409;509691;466750;42941;01/09/2014;9;September;2014
Channel Partners;France;VTT;Medium;2234;250;12;26808;2,41272E+16;2,43953E+16;6702;1769328;01/09/2013;9;September;2013
Midmarket;France;VTT;Medium;1227;250;15;18405;165645;1674855;12270;4,47855E+16;01/10/2014;10;October;2014
Enterprise;Mexico;VTT;Medium;877;250;125;109625;986625;9975875;105240;-548125;01/11/2014;11;November;2014
Government;United States of America;Amarilla;Medium;2071;260;350;724850;652365;6596135;538460;1211535;01/09/2014;9;September;2014
Government;Canada;Amarilla;Medium;1269;260;350;444150;399735;4041765;329940;742365;01/10/2014;10;October;2014
Midmarket;Germany;Amarilla;Medium;970;260;15;14550;13095;132405;9700;35405;01/11/2013;11;November;2013
Government;Mexico;Amarilla;Medium;1694;260;20;33880;30492;3,08308E+16;16940;138908;01/11/2014;11;November;2014
Government;Germany;Carretera;Medium;663;3;20;13260;1,1934E+16;120666;6630;54366;01/05/2014;5;May;2014
Government;Canada;Carretera;Medium;819;3;7;5733;51597;521703;4095;112203;01/07/2014;7;July;2014
Channel Partners;Germany;Carretera;Medium;1580;3;12;18960;17064;1,72536E+16;4740;1,25136E+16;01/09/2014;9;September;2014
Government;Mexico;Carretera;Medium;521;3;7;3647;32823;331877;2605;71377;01/12/2014;12;December;2014
Government;United States of America;Paseo;Medium;973;10;20;19460;17514;1,77086E+16;9730;7,9786E+16;01/03/2014;3;March;2014
Government;Mexico;Paseo;Medium;1038;10;20;20760;18684;1,88916E+16;10380;8,5116E+16;01/06/2014;6;June;2014
Government;Germany;Paseo;Medium;360;10;7;2520;2268;2,2932E+16;1800;4,932E+16;01/10/2014;10;October;2014
Channel Partners;France;Velo;Medium;1967;120;12;23604;212436;2147964;5901;1557864;01/03/2014;3;March;2014
Midmarket;Mexico;Velo;Medium;2628;120;15;39420;35478;3,58722E+16;26280;9,5922E+16;01/04/2014;4;April;2014
Government;Germany;VTT;Medium;360;250;7;2520;2268;2,2932E+16;1800;4,932E+16;01/10/2014;10;October;2014
Government;France;VTT;Medium;2682;250;20;53640;4,8276E+16;488124;26820;2,19924E+16;01/11/2013;11;November;2013
Government;Mexico;VTT;Medium;521;250;7;3647;32823;331877;2605;71377;01/12/2014;12;December;2014
Government;Mexico;Amarilla;Medium;1038;260;20;20760;18684;1,88916E+16;10380;8,5116E+16;01/06/2014;6;June;2014
Midmarket;Canada;Amarilla;Medium;16305;260;15;244575;2,20118E+16;2,22563E+16;16305;5,95132E+16;01/07/2014;7;July;2014
Channel Partners;France;Amarilla;Medium;306;260;12;3672;33048;334152;918;242352;01/12/2013;12;December;2013
Channel Partners;United States of America;Carretera;High;386;3;12;4632;4632;41688;1158;30108;01/10/2013;10;October;2013
Government;United States of America;Montana;High;2328;5;7;16296;16296;146664;11640;3,0264E+16;01/09/2014;9;September;2014
Channel Partners;United States of America;Paseo;High;386;10;12;4632;4632;41688;1158;30108;01/10/2013;10;October;2013
Enterprise;United States of America;Carretera;High;34455;3;125;4306875;4306875;38761875;413460;-2584125;01/04/2014;4;April;2014
Enterprise;France;Carretera;High;1482;3;125;185250;18525;166725;177840;-11115;01/12/2013;12;December;2013
Government;United States of America;Montana;High;2313;5;350;809550;80955;728595;601380;127215;01/05/2014;5;May;2014
Enterprise;United States of America;Montana;High;1804;5;125;225500;22550;202950;216480;-13530;01/11/2013;11;November;2013
Midmarket;France;Montana;High;2072;5;15;31080;3108;27972;20720;7252;01/12/2014;12;December;2014
Government;France;Paseo;High;1954;10;20;39080;3908;35172;19540;15632;01/03/2014;3;March;2014
Small Business;Mexico;Paseo;High;591;10;300;177300;17730;159570;147750;11820;01/05/2014;5;May;2014
Midmarket;France;Paseo;High;2167;10;15;32505;32505;292545;21670;75845;01/10/2013;10;October;2013
Government;Germany;Paseo;High;241;10;20;4820;482;4338;2410;1928;01/10/2014;10;October;2014
Midmarket;Germany;Velo;High;681;120;15;10215;10215;91935;6810;23835;01/01/2014;1;January;2014
Midmarket;Germany;Velo;High;510;120;15;7650;765;6885;5100;1785;01/04/2014;4;April;2014
Midmarket;United States of America;Velo;High;790;120;15;11850;1185;10665;7900;2765;01/05/2014;5;May;2014
Government;France;Velo;High;639;120;350;223650;22365;201285;166140;35145;01/07/2014;7;July;2014
Enterprise;United States of America;Velo;High;1596;120;125;199500;19950;179550;191520;-11970;01/09/2014;9;September;2014
Small Business;United States of America;Velo;High;2294;120;300;688200;68820;619380;573500;45880;01/10/2013;10;October;2013
Government;Germany;Velo;High;241;120;20;4820;482;4338;2410;1928;01/10/2014;10;October;2014
Government;Germany;Velo;High;2665;120;7;18655;18655;167895;13325;34645;01/11/2014;11;November;2014
Enterprise;Canada;Velo;High;1916;120;125;239500;23950;215550;229920;-14370;01/12/2013;12;December;2013
Small Business;France;Velo;High;853;120;300;255900;25590;230310;213250;17060;01/12/2014;12;December;2014
Enterprise;Mexico;VTT;High;341;250;125;42625;42625;383625;40920;-25575;01/05/2014;5;May;2014
Midmarket;Mexico;VTT;High;641;250;15;9615;9615;86535;6410;22435;01/07/2014;7;July;2014
Government;United States of America;VTT;High;2807;250;350;982450;98245;884205;729820;154385;01/08/2014;8;August;2014
Small Business;Mexico;VTT;High;432;250;300;129600;12960;116640;108000;8640;01/09/2014;9;September;2014
Small Business;United States of America;VTT;High;2294;250;300;688200;68820;619380;573500;45880;01/10/2013;10;October;2013
Midmarket;France;VTT;High;2167;250;15;32505;32505;292545;21670;75845;01/10/2013;10;October;2013
Enterprise;Canada;VTT;High;2529;250;125;316125;316125;2845125;303480;-189675;01/11/2014;11;November;2014
Government;Germany;VTT;High;1870;250;350;654500;65450;589050;486200;102850;01/12/2013;12;December;2013
Enterprise;United States of America;Amarilla;High;579;260;125;72375;72375;651375;69480;-43425;01/01/2014;1;January;2014
Government;Canada;Amarilla;High;2240;260;350;784000;78400;705600;582400;123200;01/02/2014;2;February;2014
Small Business;United States of America;Amarilla;High;2993;260;300;897900;89790;808110;748250;59860;01/03/2014;3;March;2014
Channel Partners;Canada;Amarilla;High;35205;260;12;42246;4,2246E+16;3,80214E+16;105615;2,74599E+16;01/04/2014;4;April;2014
Government;Mexico;Amarilla;High;2039;260;20;40780;4078;36702;20390;16312;01/05/2014;5;May;2014
Channel Partners;Germany;Amarilla;High;2574;260;12;30888;30888;2,77992E+16;7722;200772;01/08/2014;8;August;2014
Government;Canada;Amarilla;High;707;260;350;247450;24745;222705;183820;38885;01/09/2014;9;September;2014
Midmarket;France;Amarilla;High;2072;260;15;31080;3108;27972;20720;7252;01/12/2014;12;December;2014
Small Business;France;Amarilla;High;853;260;300;255900;25590;230310;213250;17060;01/12/2014;12;December;2014
Channel Partners;France;Carretera;High;1198;3;12;14376;158136;1279464;3594;920064;01/10/2013;10;October;2013
Government;France;Paseo;High;2532;10;7;17724;1,94964E+16;1577436;12660;3,11436E+16;01/04/2014;4;April;2014
Channel Partners;France;Paseo;High;1198;10;12;14376;158136;1279464;3594;920064;01/10/2013;10;October;2013
Midmarket;Canada;Velo;High;384;120;15;5760;6,336E+16;5,1264E+16;3840;1,2864E+16;01/01/2014;1;January;2014
Channel Partners;Germany;Velo;High;472;120;12;5664;62304;504096;1416;362496;01/10/2014;10;October;2014
Government;United States of America;VTT;High;1579;250;7;11053;121583;983717;7895;194217;01/03/2014;3;March;2014
Channel Partners;Mexico;VTT;High;1005;250;12;12060;13266;107334;3015;77184;01/09/2013;9;September;2013
Midmarket;United States of America;Amarilla;High;31995;260;15;479925;5,27917E+16;4,27133E+16;31995;1,07183E+16;01/07/2014;7;July;2014
